condsFile,subStage,cue1,cue2,correct,responseKeys,responseNames,cue1Position,cue2Position,cue1Opacity,cue2Opacity,stageLoop0.thisRepN,stageLoop0.thisTrialN,stageLoop0.thisN,stageLoop0.thisIndex,blockLoop0.thisRepN,blockLoop0.thisTrialN,blockLoop0.thisN,blockLoop0.thisIndex,cuePics,id_instr_text.started,id_instr_text.stopped,space_to_continue_2.started,space_to_continue_2.stopped,end_instructions_resp_3.keys,end_instructions_resp_3.rt,end_instructions_resp_3.started,end_instructions_resp_3.stopped,id_input_instr.started,id_input_instr.stopped,id_input_rect.started,id_input_rect.stopped,id_input_resp.keys,id_input_resp.rt,id_input_resp.started,id_input_resp.stopped,sonaID,id_input_text.started,id_input_text.stopped,final_text.started,final_text.stopped,instructions.started,instructions.stopped,end_instructions_resp.keys,end_instructions_resp.rt,end_instructions_resp.started,end_instructions_resp.stopped,space_to_continue.started,space_to_continue.stopped,instructions_stage0.started,instructions_stage0.stopped,end_instructions_resp_stage0.keys,end_instructions_resp_stage0.rt,end_instructions_resp_stage0.started,end_instructions_resp_stage0.stopped,space_to_continue_stage0.started,space_to_continue_stage0.stopped,text.started,text.stopped,resp_text1.started,resp_text1.stopped,resp_text2.started,resp_text2.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,cue1Image.started,cue1Image.stopped,cue2Image.started,cue2Image.stopped,cue1Image_fb.started,cue1Image_fb.stopped,cue2Image_fb.started,cue2Image_fb.stopped,fb_text_answer.started,fb_text_answer.stopped,feedback_image.started,feedback_image.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,"{'none': 'pictures/20M_AN_C.png', 'alpha': 'pictures/SHINEd_apple.png', 'beta': 'pictures/SHINEd_pear.png', 'theta': 'pictures/SHINEd_melon.png', 'phi': 'pictures/SHINEd_pepper.png', 'T1': 'pictures/31M_AN_C.png', 'T2': 'pictures/36M_AN_C.png', 'T3': 'pictures/38M_AN_C.png', 'T4': 'pictures/20M_AN_C.png', 'T5': 'pictures/26M_AN_C.png', 'T6': 'pictures/33M_AN_C.png', 'B1': 'pictures/23M_NE_C.png', 'B2': 'pictures/22M_NE_C.png', 'B3': 'pictures/37M_NE_C.png', 'B4': 'pictures/25M_NE_C.png', 'B5': 'pictures/32M_NE_C.png', 'B6': 'pictures/34M_NE_C.png'}",1019.960683518002,None,1024.944276893002,None,space,3.691672524000751,1024.944276893002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029.061079850002,None,1029.061079850002,None,"['1', '0', '1', '7', 'b', 'e', 'v', 'a', 'n']","[3.8627804090028803, 4.0228032450031606, 9.286810911002249, 9.4787681050002, 14.51875360500344, 14.710787746000278, 18.99881371400261, 19.334733970001253, 19.558847318003245]",1029.061079850002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017bevan,1029.061079850002,None,1029.061079850002,None,1053.6944569650004,None,space,2.213555684997118,1058.6943367989988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1058.6943367989988,None,1060.9441231950004,None,space,4.323572313001932,1065.944369926001,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1065.944369926001,None,1070.3774211890013,None,1070.3774211890013,None,1070.3774211890013,None,g,0,1.6462758900015615,1071.9815713099997,None,1071.9815713099997,None,1071.9815713099997,None,1073.6939718850008,None,1073.6939718850008,None,1073.6939718850008,None,1073.6939718850008,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075.644239756999,None,1075.644239756999,None,1075.644239756999,None,g,1,1.3138103080018482,1077.1780718520022,None,1077.1780718520022,None,1077.1780718520022,None,1078.5448375490014,None,1078.5448375490014,None,1078.5448375490014,None,1078.5448375490014,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080.5279163070009,None,1080.5279163070009,None,1080.5279163070009,None,g,1,1.710620507998101,1082.0612633300007,None,1082.0612633300007,None,1082.0612633300007,None,1083.827450323999,None,1083.827450323999,None,1083.827450323999,None,1083.827450323999,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,1,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085.7955596659995,None,1085.7955596659995,None,1085.7955596659995,None,h,1,0.604298086000199,1087.3275993560019,None,1087.3275993560019,None,1087.3275993560019,None,1087.9937933620022,None,1087.9937933620022,None,1087.9937933620022,None,1087.9937933620022,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089.9777749400018,None,1089.9777749400018,None,1089.9777749400018,None,g,0,1.0774571170004492,1091.5104822479989,None,1091.5104822479989,None,1091.5104822479989,None,1092.6445009679992,None,1092.6445009679992,None,1092.6445009679992,None,1092.6445009679992,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094.610971997001,None,1094.610971997001,None,1094.610971997001,None,g,1,1.0514905720010574,1096.1443107720006,None,1096.1443107720006,None,1096.1443107720006,None,1097.2607652660008,None,1097.2607652660008,None,1097.2607652660008,None,1097.2607652660008,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,3,3,3,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099.2443397120005,None,1099.2443397120005,None,1099.2443397120005,None,g,1,0.9788409499997215,1100.7770144640017,None,1100.7770144640017,None,1100.7770144640017,None,1101.811221390999,None,1101.811221390999,None,1101.811221390999,None,1101.811221390999,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,3,3,3,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103.7777216239992,None,1103.7777216239992,None,1103.7777216239992,None,h,1,0.7651578089971736,1105.3107390490004,None,1105.3107390490004,None,1105.3107390490004,None,1106.1275728389992,None,1106.1275728389992,None,1106.1275728389992,None,1106.1275728389992,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1108.1113814570017,None,1108.1113814570017,None,1108.1113814570017,None,h,1,1.7756330160009384,1109.644318658,None,1109.644318658,None,1109.644318658,None,1111.4780554579993,None,1111.4780554579993,None,1111.4780554579993,None,1111.4780554579993,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,4,4,4,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113.444196253,None,1113.444196253,None,1113.444196253,None,g,1,0.6662847970001167,1114.977607394001,None,1114.977607394001,None,1114.977607394001,None,1115.6938888780023,None,1115.6938888780023,None,1115.6938888780023,None,1115.6938888780023,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117.6778028100016,None,1117.6778028100016,None,1117.6778028100016,None,h,1,0.9291307820021757,1119.2106905170003,None,1119.2106905170003,None,1119.2106905170003,None,1120.1940222340017,None,1120.1940222340017,None,1120.1940222340017,None,1120.1940222340017,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,5,5,5,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122.1608822740018,None,1122.1608822740018,None,1122.1608822740018,None,g,1,0.8438566949989763,1123.6959779220015,None,1123.6959779220015,None,1123.6959779220015,None,1124.5944264589998,None,1124.5944264589998,None,1124.5944264589998,None,1124.5944264589998,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0b_1.xlsx,0b,none,beta,g,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",0,1,0,6,6,6,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126.5777554660017,None,1126.5777554660017,None,1126.5777554660017,None,h,0,0.588045473999955,1128.127843915001,None,1128.127843915001,None,1128.127843915001,None,1128.778215235001,None,1128.778215235001,None,1128.778215235001,None,1128.778215235001,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0b_1.xlsx,0b,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",1,0,0,6,6,6,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130.7444428189992,None,1130.7444428189992,None,1130.7444428189992,None,h,1,1.2018432349977957,1132.2820518090011,None,1132.2820518090011,None,1132.2820518090011,None,1133.5446555900016,None,1133.5446555900016,None,1133.5446555900016,None,1133.5446555900016,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0b_2.xlsx,0b,none,alpha,h,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",0,1,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135.52766625,None,1135.52766625,None,1135.52766625,None,g,0,1.0461767699998745,1137.0776486390023,None,1137.0776486390023,None,1137.0776486390023,None,1138.177438046001,None,1138.177438046001,None,1138.177438046001,None,1138.177438046001,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0b_2.xlsx,0b,beta,none,g,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",1,0,0,7,7,7,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140.1440750290021,None,1140.1440750290021,None,1140.1440750290021,None,g,1,1.0350205159993493,1141.680792012001,None,1141.680792012001,None,1141.680792012001,None,1142.779894055002,None,1142.779894055002,None,1142.779894055002,None,1142.779894055002,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0b_1.xlsx,0b,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",1,0,0,8,8,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144.760459639001,None,1144.760459639001,None,1144.760459639001,None,h,1,0.7578160020020732,1146.294138819001,None,1146.294138819001,None,1146.294138819001,None,1147.1107521150007,None,1147.1107521150007,None,1147.1107521150007,None,1147.1107521150007,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0b_1.xlsx,0b,none,beta,g,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",0,1,0,8,8,8,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149.0775931880016,None,1149.0775931880016,None,1149.0775931880016,None,g,1,1.5081173319995287,1150.6157684329992,None,1150.6157684329992,None,1150.6157684329992,None,1152.1818051049995,None,1152.1818051049995,None,1152.1818051049995,None,1152.1818051049995,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0b_2.xlsx,0b,beta,none,g,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",1,0,0,9,9,9,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154.1612487290004,None,1154.1612487290004,None,1154.1612487290004,None,g,1,0.9215598390001105,1155.698251402002,None,1155.698251402002,None,1155.698251402002,None,1156.6776302229991,None,1156.6776302229991,None,1156.6776302229991,None,1156.6776302229991,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0b_2.xlsx,0b,none,alpha,h,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",0,1,0,9,9,9,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1158.644188696002,None,1158.644188696002,None,1158.644188696002,None,h,1,1.2544437049982662,1160.181472190001,None,1160.181472190001,None,1160.181472190001,None,1161.4955433520008,None,1161.4955433520008,None,1161.4955433520008,None,1161.4955433520008,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0b_1.xlsx,0b,none,beta,g,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",0,1,0,10,10,10,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1163.4780252320015,None,1163.4780252320015,None,1163.4780252320015,None,g,1,0.8411148189989035,1165.0108296860017,None,1165.0108296860017,None,1165.0108296860017,None,1165.9115972979998,None,1165.9115972979998,None,1165.9115972979998,None,1165.9115972979998,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0b_1.xlsx,0b,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",1,0,0,10,10,10,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1167.8775021740003,None,1167.8775021740003,None,1167.8775021740003,None,h,1,1.063923892997991,1169.427936434,None,1169.427936434,None,1169.427936434,None,1170.5489314680017,None,1170.5489314680017,None,1170.5489314680017,None,1170.5489314680017,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0b_2.xlsx,0b,none,alpha,h,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",0,1,0,11,11,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172.5273920180007,None,1172.5273920180007,None,1172.5273920180007,None,h,1,1.756232143001398,1174.0637187030006,None,1174.0637187030006,None,1174.0637187030006,None,1175.8801127240004,None,1175.8801127240004,None,1175.8801127240004,None,1175.8801127240004,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
condition files/Stage0b_2.xlsx,0b,beta,none,g,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",1,0,0,11,11,11,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177.8443098850003,None,1177.8443098850003,None,1177.8443098850003,None,g,1,1.4783198180011823,1179.3815767060005,None,1179.3815767060005,None,1179.3815767060005,None,1180.9168417309993,None,1180.9168417309993,None,1180.9168417309993,None,1180.9168417309993,None,001,16,2020_Jan_28_1449,spring_faces,3.1.5,60.160349348976325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1182.8944474349992,None,1182.8944474349992,None,1182.8944474349992,None,,,,,,,,,,,,,,,,,,,,,,,,
